fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median,PROVINCIA
123,1258,Buenos Aires,Daireaux,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,3,4,4,4,4,5,Buenos Aires
124,1259,Buenos Aires,Tres Lomas,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,4,5,6,6,6,Buenos Aires
125,1260,Buenos Aires,Ayacucho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,5,4,3,2,1,0,0,Buenos Aires
126,1261,Buenos Aires,Guaminí,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,4,4,4,5,Buenos Aires
127,1262,Buenos Aires,Ensenada,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5,Buenos Aires
128,1263,Buenos Aires,Laprida,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0,Buenos Aires
129,1264,Buenos Aires,San Isidro,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
130,1265,Buenos Aires,Benito Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,3,4,3,2,0,0,Buenos Aires
131,1266,Buenos Aires,Colón,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,0,1,2,2,1,0,0,1,2,4,5,7,8,9,9,9,9,9,9,7,5,Buenos Aires
132,1268,Buenos Aires,Saavedra,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,2,1,0,Buenos Aires
133,1269,Buenos Aires,Monte Hermoso,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,2,2,2,1,0,0,0,0,0,1,2,3,3,2,1,0,0,Buenos Aires
134,1270,Buenos Aires,Lobería,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,1,2,3,3,3,2,1,0,0,Buenos Aires
135,1271,Buenos Aires,Berisso,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,8,8,8,9,9,7,5,Buenos Aires
136,1272,Buenos Aires,Tordillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,0,2,4,5,4,4,4,4,2,1,Buenos Aires
137,1273,Buenos Aires,Zárate,0,0,0,0,1,2,3,3,3,3,2,3,4,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
138,1274,Buenos Aires,Ramallo,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,6,5,3,1,0,1,2,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
139,1275,Buenos Aires,San Nicolás,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,6,6,4,2,0,1,3,5,7,8,9,9,9,9,9,9,7,5,Buenos Aires
140,1294,Buenos Aires,Leandro N. Alem,0,0,0,0,1,2,4,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,9,9,Buenos Aires
141,1296,Buenos Aires,General Arenales,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,8,7,Buenos Aires
142,1298,Buenos Aires,Patagones,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,5,6,6,4,2,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3,3,Buenos Aires
144,1303,Buenos Aires,Coronel de Marina Leonardo Rosales,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1,0,1,2,3,3,3,2,1,0,0,0,0,0,0,1,2,3,2,1,0,0,Buenos Aires
145,1304,Buenos Aires,Baradero,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,1,2,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
146,1305,Buenos Aires,San Pedro,0,1,2,3,3,3,5,6,5,4,2,1,0,0,0,1,3,5,6,5,3,1,0,1,2,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
147,1313,Buenos Aires,Florentino Ameghino,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,7,9,8,7,6,7,8,9,9,Buenos Aires
