key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
cordoba|totoral,Córdoba,Totoral,5,6,0,25
cordoba|sanjavier,Córdoba,San Javier,0,9,0,27
cordoba|rioprimero,Córdoba,Río Primero,5,6,0,25
cordoba|calamuchita,Córdoba,Calamuchita,0,9,0,27
cordoba|pocho,Córdoba,Pocho,0,3,5,28
formosa|bermejo,Formosa,Bermejo,6,4,13,13
formosa|matacos,Formosa,Matacos,6,2,13,15
formosa|ramonlista,Formosa,Ramón Lista,6,2,13,15
lapampa|chicalco,La Pampa,Chical Co,0,0,7,29
lapampa|chalileo,La Pampa,Chalileo,0,0,11,25
lapampa|puelen,La Pampa,Puelén,0,0,10,26
