key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
santafe|lacapital,Santa Fe,La Capital,8,6,8,14
santafe|sanjavier,Santa Fe,San Javier,8,5,8,15
santafe|garay,Santa Fe,Garay,7,5,9,15
santafe|sanjeronimo,Santa Fe,San Jerónimo,9,6,7,14
misiones|capital,Misiones,Capital,2,3,14,17
misiones|sanignacio,Misiones,San Ignacio,2,2,14,18
misiones|candelaria,Misiones,Candelaria,2,2,14,18
misiones|montecarlo,Misiones,Montecarlo,2,2,14,18
misiones|cainguas,Misiones,Cainguás,2,0,14,20
misiones|obera,Misiones,Oberá,2,0,14,20
misiones|25demayo,Misiones,25 de Mayo,2,0,14,20
misiones|leandronalem,Misiones,Leandro N. Alem,2,0,14,20
misiones|sanjavier,Misiones,San Javier,2,0,14,20
misiones|concepcion,Misiones,Concepción,2,0,14,20
misiones|apostoles,Misiones,Apóstoles,2,0,14,20
misiones|guarani,Misiones,Guaraní,2,4,14,16
misiones|sanpedro,Misiones,San Pedro,2,4,14,16
misiones|iguazu,Misiones,Iguazú,2,3,14,17
misiones|generalmanuelbelgrano,Misiones,General Manuel Belgrano,1,4,15,16
misiones|eldorado,Misiones,Eldorado,2,3,14,17
misiones|libertadorgeneralsanmartin,Misiones,Libertador General San Martín,2,2,14,18
entrerios|federacion,Entre Rios,Federación,7,0,9,20
entrerios|colon,Entre Rios,Colón,5,0,11,20
entrerios|concordia,Entre Rios,Concordia,5,0,11,20
corrientes|sanluisdelpalmar,Corrientes,San Luis del Palmar,6,0,26,4
corrientes|mburucuya,Corrientes,Mburucuyá,6,0,26,4
corrientes|concepcion,Corrientes,Concepción,9,0,10,17
corrientes|mercedes,Corrientes,Mercedes,9,0,10,17
corrientes|sanroque,Corrientes,San Roque,10,0,22,4
corrientes|generalpaz,Corrientes,General Paz,7,1,25,3
corrientes|empedrado,Corrientes,Empedrado,13,1,19,3
corrientes|saladas,Corrientes,Saladas,13,1,19,3
corrientes|bellavista,Corrientes,Bella Vista,14,1,18,3
corrientes|lavalle,Corrientes,Lavalle,13,1,19,3
corrientes|goya,Corrientes,Goya,13,1,19,3
corrientes|esquina,Corrientes,Esquina,9,5,10,12
corrientes|sauce,Corrientes,Sauce,8,0,11,17
corrientes|curuzucuatia,Corrientes,Curuzú Cuatiá,9,0,10,17
corrientes|montecaseros,Corrientes,Monte Caseros,8,0,11,17
corrientes|pasodeloslibres,Corrientes,Paso de los Libres,8,0,11,17
corrientes|sanmartin,Corrientes,San Martín,6,0,13,17
corrientes|generalalvear,Corrientes,General Alvear,5,0,14,17
corrientes|santotome,Corrientes,Santo Tomé,5,0,14,17
corrientes|sanmiguel,Corrientes,San Miguel,6,3,13,14
corrientes|ituzaingo,Corrientes,Ituzaingó,5,3,14,14
corrientes|berondeastrada,Corrientes,Berón de Astrada,7,1,25,3
corrientes|itati,Corrientes,Itatí,7,1,25,3
corrientes|sancosme,Corrientes,San Cosme,9,1,23,3
corrientes|capital,Corrientes,Capital,14,1,18,3
cordoba|tulumba,Córdoba,Tulumba,5,6,0,25
cordoba|cruzdeleje,Córdoba,Cruz del Eje,0,8,0,28
cordoba|punilla,Córdoba,Punilla,0,10,5,21
cordoba|santamaria,Córdoba,Santa María,5,10,0,21
cordoba|minas,Córdoba,Minas,0,4,0,32
cordoba|sanalberto,Córdoba,San Alberto,0,9,5,22
cordoba|riosegundo,Córdoba,Río Segundo,5,10,0,21
cordoba|sanjusto,Córdoba,San Justo,7,8,0,21
cordoba|rioseco,Córdoba,Río Seco,5,6,0,25
cordoba|sobremonte,Córdoba,Sobremonte,5,6,0,25
cordoba|capital,Córdoba,Capital,0,11,0,25
cordoba|colon,Córdoba,Colón,5,9,0,22
cordoba|ischilin,Córdoba,Ischilín,4,6,1,25
cordoba|totoral,Córdoba,Totoral,5,6,0,25
cordoba|sanjavier,Córdoba,San Javier,0,9,0,27
cordoba|rioprimero,Córdoba,Río Primero,5,10,0,21
cordoba|calamuchita,Córdoba,Calamuchita,0,11,0,25
cordoba|pocho,Córdoba,Pocho,0,8,5,23
formosa|bermejo,Formosa,Bermejo,7,6,12,11
formosa|matacos,Formosa,Matacos,6,3,13,14
formosa|ramonlista,Formosa,Ramón Lista,7,2,12,15
lapampa|chicalco,La Pampa,Chical Co,0,4,7,25
lapampa|chalileo,La Pampa,Chalileo,0,0,11,25
lapampa|puelen,La Pampa,Puelén,0,0,10,26
