fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_max,AGO2020_max,SEP2020_max,OCT2020_max,NOV2020_max,DIC2020_max,ENE2021_max,FEB2021_max,MAR2021_max,ABR2021_max,MAY2021_max,JUN2021_max,JUL2021_max,AGO2021_max,SEP2021_max,OCT2021_max,NOV2021_max,DIC2021_max,ENE2022_max,FEB2022_max,MAR2022_max,ABR2022_max,MAY2022_max,JUN2022_max,JUL2022_max,AGO2022_max,SEP2022_max,OCT2022_max,NOV2022_max,DIC2022_max,ENE2023_max,FEB2023_max,MAR2023_max,ABR2023_max,MAY2023_max,JUN2023_max
99,1233,Buenos Aires,General Rodríguez,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
100,1234,Buenos Aires,Suipacha,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7
101,1235,Buenos Aires,Tres de Febrero,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
102,1237,Buenos Aires,Chivilcoy,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7
103,1238,Buenos Aires,Alberti,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,2,3,4,6,8,9,8,8,8,9,9,9,9
104,1239,Buenos Aires,Bragado,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,8,8,8,9,9,9,9
105,1240,Buenos Aires,General Las Heras,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
106,1241,Buenos Aires,Marcos Paz,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
107,1242,Buenos Aires,General Viamonte,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,3,5,6,7,8,9,8,8,8,9,9,9,9
108,1243,Buenos Aires,Ezeiza,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
109,1244,Buenos Aires,Florencio Varela,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,2,4,5,7,8,9,9,9,9,9,7,5
110,1245,Buenos Aires,Navarro,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7
111,1246,Buenos Aires,Cañuelas,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
112,1247,Buenos Aires,San Vicente,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,2,4,5,7,8,9,9,9,9,9,7,5
113,1248,Buenos Aires,Lobos,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,4,2,0,0,0,1,2,4,6,8,9,9,9,9,9,9,8,7
114,1249,Buenos Aires,General Alvear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,4,7,7,7,7,8,9,9,9
115,1250,Buenos Aires,Quilmes,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
116,1251,Buenos Aires,General La Madrid,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,5,4,4,4,4,3,3
117,1252,Buenos Aires,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,5,5,6,8,9,9,9
118,1253,Buenos Aires,Balcarce,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,3,5,5,4,3,2,1,0,0
119,1254,Buenos Aires,Tapalqué,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,3,5,6,6,7,7,7,6,6
120,1255,Buenos Aires,Hipólito Yrigoyen,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,4,4,4,5,7,8
121,1256,Buenos Aires,Dolores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,1,3,6,6,5,4,5,6,5,4
122,1257,Buenos Aires,Azul,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,1,3,5,5,5,6,7,7,5,4
123,1258,Buenos Aires,Daireaux,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5,4,4,5,6,6,6
124,1259,Buenos Aires,Tres Lomas,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,4,5,6,6,6
125,1260,Buenos Aires,Ayacucho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,1,3,5,5,4,4,5,6,5,4
126,1261,Buenos Aires,Guaminí,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,5,6,6,6
127,1262,Buenos Aires,Ensenada,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
128,1263,Buenos Aires,Laprida,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,4,5,4,2,1,2
129,1264,Buenos Aires,San Isidro,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
130,1265,Buenos Aires,Benito Juárez,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,4,5,4,2,0,0
131,1266,Buenos Aires,Colón,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,4,3,1,1,1,3,5,6,7,8,9,9,9,9,9,9,8,7
132,1268,Buenos Aires,Saavedra,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,3,3,4,4,3,2,2
133,1269,Buenos Aires,Monte Hermoso,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1,0,1,2,3,3,3,2,1,0,0,0,0,0,1,2,3,3,2,1,0,0
134,1270,Buenos Aires,Lobería,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,2,3,3,4,5,4,2,0,0
135,1271,Buenos Aires,Berisso,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,8,8,8,9,9,7,5
136,1272,Buenos Aires,Tordillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,0,2,4,5,4,4,5,6,5,4
137,1273,Buenos Aires,Zárate,0,2,4,6,6,6,6,6,5,4,3,4,5,6,6,5,5,5,6,6,5,4,2,2,3,4,6,8,9,9,9,9,9,9,7,5
138,1274,Buenos Aires,Ramallo,0,1,2,3,3,4,5,6,5,4,2,3,4,6,6,5,4,5,6,6,5,4,2,2,4,6,7,8,9,9,9,9,9,9,7,5
139,1275,Buenos Aires,San Nicolás,0,1,2,3,3,4,5,6,5,4,2,3,4,6,6,5,4,5,6,6,5,4,2,2,4,6,7,8,9,9,9,9,9,9,7,5
140,1294,Buenos Aires,Leandro N. Alem,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,9,9
141,1296,Buenos Aires,General Arenales,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7
142,1298,Buenos Aires,Patagones,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,5,6,6,5,3,1,0,0,0,0,1,1,1,0,0,0,0,1,2,3,4
144,1303,Buenos Aires,Coronel de Marina Leonardo Rosales,0,0,0,0,0,0,0,1,2,3,2,1,1,2,3,3,3,3,3,3,3,2,1,0,0,0,0,0,1,2,3,3,2,1,0,0
145,1304,Buenos Aires,Baradero,1,3,5,6,6,6,6,6,5,4,3,4,5,6,6,5,5,5,6,6,5,4,2,2,3,4,6,8,9,9,9,9,9,9,7,5
146,1305,Buenos Aires,San Pedro,0,1,2,3,3,4,5,6,5,4,3,4,5,6,6,5,4,5,6,6,5,4,2,2,3,4,6,8,9,9,9,9,9,9,7,5
147,1313,Buenos Aires,Florentino Ameghino,0,1,2,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,9,9
148,1320,Buenos Aires,Lanús,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
149,1321,Buenos Aires,Lomas de Zamora,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
150,1322,Buenos Aires,Avellaneda,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
152,1329,Buenos Aires,La Plata,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
153,1346,Buenos Aires,Pila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,2,0,0,0,1,1,1,2,4,7,6,6,6,8,8,6,4
154,1369,Entre Rios,Victoria,1,3,5,6,6,6,6,6,5,4,2,3,4,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,9,9,7,5
155,1370,Entre Rios,Gualeguay,1,3,5,6,6,6,6,6,5,4,3,4,5,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,9,9,7,5
162,1425,Santa Fe,Constitución,1,3,5,6,6,6,6,6,5,4,2,3,4,6,6,5,4,5,6,6,5,4,2,2,4,6,7,8,9,9,9,9,9,9,7,5
163,1426,Santa Fe,Rosario,1,3,5,6,6,6,6,6,5,4,2,3,4,6,6,5,4,5,6,6,5,4,2,2,3,5,7,8,9,9,9,9,9,9,7,5
164,1427,Santa Fe,Iriondo,1,3,5,6,6,6,6,6,5,4,2,1,0,0,0,1,3,5,6,6,5,3,2,2,4,5,6,7,8,9,9,9,8,8,6,5
165,1431,La Pampa,Caleu Caleu,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
